Naive Bayes,Árvore,Random Forest,Regras,kNN,Logística,SVM,RNA
5,3,1.5,#N/D,1.5,4,6.5,6.5
7,3,1.5,#N/D,1.5,4,5.5,5.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
7,3,1.5,#N/D,1.5,4,5.5,5.5
6,3,1.5,#N/D,1.5,4,6,6
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
7,3,1.5,#N/D,1.5,4,5.5,5.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
4,3,1.5,#N/D,1.5,5,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
7,3,1.5,#N/D,1.5,4,5.5,5.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
4,3,1.5,#N/D,1.5,5,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
4.5,3,1.5,#N/D,1.5,4.5,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
4.5,3,1.5,#N/D,1.5,4.5,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
5,3,1.5,#N/D,1.5,4,6.5,6.5
